Term,Career,ClassNbr,Subject,CatalogNbr,Section,Title,Topic,MinHrs,MaxHrs,MaxEnr,Enr,InstructorName,GradeBasis,ClassStatus
5181,UCOL,1861,CS, 425,1,Artificial Intelligence,,3,3,45,38,"Agichtein,Yevgeny Eugene",OPT,Active
5141,UCOL,5863,CS, 495RW,00P,Honors,,1,8,999,1,"Agichtein,Yevgeny Eugene",OPT,Active
5151,UCOL,6475,CS, 495RW,AGIC,Honors,,1,4,999,1,"Agichtein,Yevgeny Eugene",OPT,Active
5109,UCOL,4287,CS, 497R,00P,Directed Study,,1,4,999,1,"Agichtein,Yevgeny Eugene",OPT,Active
5111,UCOL,3684,CS, 497R,00P,Directed Study,,1,4,30,1,"Agichtein,Yevgeny Eugene",OPT,Active
5119,UCOL,5849,CS, 497R,01P,Directed Study,,1,4,1,1,"Agichtein,Yevgeny Eugene",OPT,Active
5139,UCOL,1756,CS, 497R,AGIC,Directed Study,,1,3,999,1,"Agichtein,Yevgeny Eugene",OPT,Active
5161,UCOL,6966,CS, 497R,AGIC,Directed Study,,1,3,999,1,"Agichtein,Yevgeny Eugene",OPT,Active
5169,UCOL,6806,CS, 497R,AGIC,Directed Study,,1,3,50,1,"Agichtein,Yevgeny Eugene",OPT,Active
5179,UCOL,5595,CS, 497R,1,Directed Study,,1,3,999,1,"Agichtein,Yevgeny Eugene",OPT,Active
5169,GSAS,3631,CS, 557,000,Artificial Intelligence,,3,3,25,24,"Agichtein,Yevgeny Eugene",OPT,Active
5179,GSAS,3479,CS, 557,1,Artificial Intelligence,,3,3,15,15,"Agichtein,Yevgeny Eugene",OPT,Active
5181,GSAS,4094,CS, 557,1,Artificial Intelligence,,3,3,5,15,"Agichtein,Yevgeny Eugene",OPT,Active
5141,GSAS,4265,CS, 571,000,Natural Language Processing,,3,3,25,21,"Agichtein,Yevgeny Eugene",OPT,Active
5089,GSAS,3349,CS, 572,000,Information Retrieval,,4,4,25,12,"Agichtein,Yevgeny Eugene",OPT,Active
5101,GSAS,12587,CS, 572,000,Information Retrieval,,4,4,20,14,"Agichtein,Yevgeny Eugene",OPT,Active
5161,GSAS,3695,CS, 572,000,Information Retrieval,,3,3,20,17,"Agichtein,Yevgeny Eugene",OPT,Active
5181,GSAS,1930,CS, 572,1,Information Retrieval,,3,3,35,36,"Agichtein,Yevgeny Eugene",OPT,Active
5171,GSAS,1989,CS, 584,00P,Topics In Computer Science,Intelligent Assistants,3,3,35,12,"Agichtein,Yevgeny Eugene",OPT,Active
5176,GSAS,2309,CS, 596R,0PB,CS Master's Practicum,,1,1,999,6,"Agichtein,Yevgeny Eugene",SUS,Active
5179,GSAS,6369,CS, 596R,1,CS Master's Practicum,,1,1,99,2,"Agichtein,Yevgeny Eugene",SUS,Active
5101,GSAS,3213,CS, 597R,AGIC,Directed Study,,1,12,999,1,"Agichtein,Yevgeny Eugene",OPT,Active
5106,GSAS,2438,CS, 597R,AGIC,Directed Study,,1,12,999,2,"Agichtein,Yevgeny Eugene",GRD,Active
5109,GSAS,4305,CS, 597R,AGIC,Directed Study,,1,12,999,0,"Agichtein,Yevgeny Eugene",OPT,Active
5149,GSAS,10087,CS, 597R,AGIC,Directed Study,,1,9,999,0,"Agichtein,Yevgeny Eugene",OPT,Active
5166,GSAS,2449,CS, 597R,AGIC,Directed Study,,1,9,999,2,"Agichtein,Yevgeny Eugene",OPT,Active
5169,GSAS,6607,CS, 597R,AGIC,Directed Study,,1,9,999,2,"Agichtein,Yevgeny Eugene",OPT,Active
5171,GSAS,1991,CS, 597R,AGIC,Directed Study,,1,9,1,1,"Agichtein,Yevgeny Eugene",OPT,Active
5179,GSAS,5802,CS, 597R,1,Directed Study,,1,9,10,4,"Agichtein,Yevgeny Eugene",OPT,Active
5181,GSAS,6291,CS, 597R,1,Directed Study,,1,9,10,2,"Agichtein,Yevgeny Eugene",OPT,Active
5089,GSAS,4428,CS, 598R,00P,Rotation Project,,4,4,999,1,"Agichtein,Yevgeny Eugene",OPT,Active
5091,GSAS,5582,CS, 598R,00P,Rotation Project,,4,4,999,1,"Agichtein,Yevgeny Eugene",OPT,Active
5099,GSAS,4136,CS, 598R,01P,Rotation Project,,4,4,999,2,"Agichtein,Yevgeny Eugene",OPT,Active
5101,GSAS,3215,CS, 598R,00P,Rotation Project,,4,4,999,3,"Agichtein,Yevgeny Eugene",OPT,Active
5109,GSAS,4306,CS, 598R,AGIC,Rotation Project,,4,4,999,0,"Agichtein,Yevgeny Eugene",OPT,Active
5111,GSAS,5353,CS, 598R,AGIC,Rotation Project,,4,4,999,1,"Agichtein,Yevgeny Eugene",OPT,Active
5119,GSAS,2731,CS, 598R,AGIC,Rotation Project,,4,4,999,1,"Agichtein,Yevgeny Eugene",OPT,Active
5121,GSAS,2558,CS, 598R,AGIC,Rotation Project,,4,4,999,1,"Agichtein,Yevgeny Eugene",OPT,Active
5129,GSAS,2149,CS, 598R,AGIC,Rotation Project,,4,4,999,0,"Agichtein,Yevgeny Eugene",OPT,Active
5139,GSAS,1769,CS, 598R,AGIC,Rotation Project,,3,3,999,1,"Agichtein,Yevgeny Eugene",OPT,Active
5141,GSAS,6512,CS, 598R,AGIC,Rotation Project,,3,3,999,2,"Agichtein,Yevgeny Eugene",OPT,Active
5149,GSAS,10042,CS, 598R,AGIC,Rotation Project,,3,3,999,2,"Agichtein,Yevgeny Eugene",OPT,Active
5171,GSAS,1992,CS, 598R,AGIC,Rotation Project,,3,3,1,1,"Agichtein,Yevgeny Eugene",OPT,Active
5176,GSAS,2428,CS, 598R,AGIC,Rotation Project,,3,3,999,3,"Agichtein,Yevgeny Eugene",OPT,Active
5179,GSAS,5803,CS, 598R,1,Rotation Project,,3,3,999,2,"Agichtein,Yevgeny Eugene",OPT,Active
5101,GSAS,3245,CS, 599R,AGIC,Research,,1,12,999,1,"Agichtein,Yevgeny Eugene",OPT,Active
5109,GSAS,4310,CS, 599R,AGIC,Research,,1,12,999,1,"Agichtein,Yevgeny Eugene",OPT,Active
5111,GSAS,3305,CS, 599R,AGIC,Research,,1,12,999,2,"Agichtein,Yevgeny Eugene",OPT,Active
5119,GSAS,2737,CS, 599R,AGIC,Research,,1,12,999,2,"Agichtein,Yevgeny Eugene",OPT,Active
5121,GSAS,2517,CS, 599R,AGIC,Research,,1,12,999,2,"Agichtein,Yevgeny Eugene",OPT,Active
5129,GSAS,2192,CS, 599R,AGIC,Research,,1,12,999,0,"Agichtein,Yevgeny Eugene",OPT,Active
5131,GSAS,2614,CS, 599R,AGIC,Research,,1,12,999,1,"Agichtein,Yevgeny Eugene",OPT,Active
5169,GSAS,3638,CS, 700R,000,Graduate Seminar,,1,1,40,37,"Agichtein,Yevgeny Eugene",SUS,Active
5171,GSAS,1994,CS, 700R,000,Graduate Seminar,,1,1,35,34,"Agichtein,Yevgeny Eugene",SUS,Active
5179,GSAS,3484,CS, 700R,1,Graduate Seminar,,1,1,37,37,"Agichtein,Yevgeny Eugene",SUS,Active
5109,GSAS,5842,CS, 730,000,Topics in Data & Info. Mgt.,,4,4,30,5,"Agichtein,Yevgeny Eugene",GRD,Active
5101,GSAS,3247,CS, 797R,AGIC,Directed Studies,,1,12,999,0,"Agichtein,Yevgeny Eugene",GRD,Active
5109,GSAS,5731,CS, 797R,AGIC,Directed Studies,,1,12,999,0,"Agichtein,Yevgeny Eugene",GRD,Active
5136,GSAS,2554,CS, 797R,AGIC,Directed Studies,,1,12,999,1,"Agichtein,Yevgeny Eugene",OPT,Active
5101,GSAS,3249,CS, 799R,AGIC,Dissertation Research,,1,12,999,0,"Agichtein,Yevgeny Eugene",GRD,Active
5109,GSAS,5735,CS, 799R,AGIC,Dissertation Research,,1,12,999,1,"Agichtein,Yevgeny Eugene",GRD,Active
5111,GSAS,3307,CS, 799R,AGIC,Dissertation Research,,1,12,999,0,"Agichtein,Yevgeny Eugene",GRD,Active
5119,GSAS,2715,CS, 799R,AGIC,Dissertation Research,,1,12,999,1,"Agichtein,Yevgeny Eugene",GRD,Active
5121,GSAS,2518,CS, 799R,AGIC,Dissertation Research,,1,12,999,1,"Agichtein,Yevgeny Eugene",OPT,Active
5129,GSAS,2278,CS, 799R,AGIC,Dissertation Research,,1,12,999,4,"Agichtein,Yevgeny Eugene",GRD,Active
5131,GSAS,2639,CS, 799R,AGIC,Dissertation Research,,1,12,999,3,"Agichtein,Yevgeny Eugene",OPT,Active
5139,GSAS,1789,CS, 799R,AGIC,Dissertation Research,,1,9,999,4,"Agichtein,Yevgeny Eugene",GRD,Active
5141,GSAS,6494,CS, 799R,AGIC,Dissertation Research,,1,9,999,4,"Agichtein,Yevgeny Eugene",OPT,Active
5146,GSAS,2243,CS, 799R,AGIC,Dissertation Research,,1,9,999,2,"Agichtein,Yevgeny Eugene",OPT,Active
5149,GSAS,9901,CS, 799R,AGIC,Dissertation Research,,1,9,999,4,"Agichtein,Yevgeny Eugene",OPT,Active
5151,GSAS,6401,CS, 799R,AGIC,Dissertation Research,,1,9,999,3,"Agichtein,Yevgeny Eugene",GRD,Active
5159,GSAS,6192,CS, 799R,AGIC,Dissertation Research,,1,9,999,1,"Agichtein,Yevgeny Eugene",GRD,Active
5161,GSAS,6620,CS, 799R,AGIC,Dissertation Research,,1,9,999,1,"Agichtein,Yevgeny Eugene",GRD,Active
5169,GSAS,6425,CS, 799R,AGIC,Dissertation Research,,1,9,999,1,"Agichtein,Yevgeny Eugene",GRD,Active
5171,GSAS,6379,CS, 799R,AGIC,Dissertation Research,,1,9,999,1,"Agichtein,Yevgeny Eugene",GRD,Active
5176,GSAS,2405,CS, 799R,AGIC,Dissertation Research,,1,9,999,26,"Agichtein,Yevgeny Eugene",GRD,Active
5139,UCOL,1732,CS, 170,000,Intro to Computer Science I,,4,4,28,29,"Agravat,Sanjay B.",OPT,Active
5139,UCOL,1732,CS, 170,000,Intro to Computer Science I,,4,4,28,29,"Agravat,Sanjay B.",OPT,Active
5121,UCOL,2536,CS, 110,000,Computer Science Fundamentals,,4,4,25,24,"Aji,Abulimiti",OPT,Active
5129,UCOL,2081,CS, 130R,000,Selected Programming Languages,Programming in Python,2,2,25,22,"Aji,Abulimiti",OPT,Active
5129,UCOL,2081,CS, 130R,000,Selected Programming Languages,Programming in Python,2,2,25,22,"Aji,Abulimiti",OPT,Active
5179,UCOL,6339,CS, 370,1,Computer Science Practicum,,3,3,35,18,"Arnold,Dorian",OPT,Active
5181,GSAS,4892,CS, 559,1,Distributed Processing,,3,3,35,20,"Arnold,Dorian",OPT,Active
5181,GSAS,1929,CS, 700R,1,Graduate Seminar,,1,1,25,40,"Arnold,Dorian",SUS,Active
5159,GSAS,5610,CS, 597R,BENZ,Directed Study,,1,9,999,0,"Benzi,Michele",OPT,Active
5091,GSAS,5583,CS, 598R,01P,Rotation Project,,4,4,999,0,"Benzi,Michele",OPT,Active
5121,GSAS,5597,CS, 598R,BENZ,Rotation Project,,4,4,999,1,"Benzi,Michele",OPT,Active
5109,UCOL,5871,CS, 170,002,Intro to Computer Science I,,4,4,20,24,"Berisha,Sebastian",OPT,Active
5109,UCOL,5871,CS, 170,002,Intro to Computer Science I,,4,4,20,24,"Berisha,Sebastian",OPT,Active
5111,UCOL,3671,CS, 170,001,Intro to Computer Science I,,4,4,30,27,"Berisha,Sebastian",OPT,Active
5111,UCOL,3671,CS, 170,001,Intro to Computer Science I,,4,4,30,27,"Berisha,Sebastian",OPT,Active
5141,UCOL,6366,CS, 130R,001,Selected Programming Languages,MATLAB,2,2,27,20,"Bertagna,Luca",OPT,Active
5141,UCOL,6366,CS, 130R,001,Selected Programming Languages,MATLAB,2,2,27,20,"Bertagna,Luca",OPT,Active
5119,UCOL,2673,CS, 170,001,Intro to Computer Science I,,4,4,31,31,"Bonomi,Luca",OPT,Active
5119,UCOL,2673,CS, 170,001,Intro to Computer Science I,,4,4,31,31,"Bonomi,Luca",OPT,Active
5121,UCOL,2539,CS, 170,001,Intro to Computer Science I,,4,4,31,31,"Bonomi,Luca",OPT,Active
5121,UCOL,2539,CS, 170,001,Intro to Computer Science I,,4,4,31,31,"Bonomi,Luca",OPT,Active
5126,UCOL,1383,CS, 170,00A,Intro to Computer Science I,,4,4,30,28,"Bonomi,Luca",OPT,Active
5171,GSAS,6581,CS, 598R,BRAT,Rotation Project,,3,3,10,1,"Brat,Daniel Jay",OPT,Active
5139,UCOL,6252,CS, 130R,000,Selected Programming Languages,Programming in Python,2,2,25,21,"Chen,Li",OPT,Active
5139,UCOL,6252,CS, 130R,000,Selected Programming Languages,Programming in Python,2,2,25,21,"Chen,Li",OPT,Active
5149,UCOL,3675,CS, 170,000,Intro to Computer Science I,,4,4,30,31,"Chen,Xin",OPT,Active
5119,UCOL,2672,CS, 170,000,Intro to Computer Science I,,4,4,31,31,"Cheung,Shun Yan",OPT,Active
5119,UCOL,2672,CS, 170,000,Intro to Computer Science I,,4,4,31,31,"Cheung,Shun Yan",OPT,Active
5119,UCOL,5613,CS, 170,003,Intro to Computer Science I,,4,4,8,8,"Cheung,Shun Yan",OPT,Active
5119,UCOL,5613,CS, 170,003,Intro to Computer Science I,,4,4,8,8,"Cheung,Shun Yan",OPT,Active
5121,UCOL,2550,CS, 170,002,Intro to Computer Science I,,4,4,31,31,"Cheung,Shun Yan",OPT,Active
5121,UCOL,2550,CS, 170,002,Intro to Computer Science I,,4,4,31,31,"Cheung,Shun Yan",OPT,Active
5091,UCOL,1040,CS, 171,000,Intro to Computer Science II,,4,4,25,14,"Cheung,Shun Yan",OPT,Active
5139,UCOL,1741,CS, 171,000,Intro to Computer Science II,,3,3,35,31,"Cheung,Shun Yan",OPT,Active
5109,UCOL,4275,CS, 255,000,Comp Org/Assembly Programming,,4,4,25,16,"Cheung,Shun Yan",OPT,Active
5119,UCOL,2677,CS, 255,000,Comp Org/Assembly Programming,,4,4,28,29,"Cheung,Shun Yan",OPT,Active
5129,UCOL,2104,CS, 255,000,Comp Org/Assembly Programming,,4,4,30,27,"Cheung,Shun Yan",OPT,Active
5139,UCOL,1749,CS, 255,000,Comp Org/Assembly Programming,,3,3,32,34,"Cheung,Shun Yan",OPT,Active
5149,UCOL,3692,CS, 255,000,Comp Org/Assembly Programming,,3,3,35,38,"Cheung,Shun Yan",OPT,Active
5159,UCOL,3398,CS, 255,000,Comp Org/Assembly Programming,,3,3,60,58,"Cheung,Shun Yan",OPT,Active
5169,UCOL,3613,CS, 255,000,Comp Org/Assembly Programming,,3,3,65,63,"Cheung,Shun Yan",OPT,Active
5179,UCOL,3468,CS, 255,1,Comp Org/Assembly Programming,,3,3,60,61,"Cheung,Shun Yan",OPT,Active
5111,UCOL,3673,CS, 323,000,Data Structures And Algorithms,,4,4,30,14,"Cheung,Shun Yan",OPT,Active
5131,UCOL,2542,CS, 323,000,Data Structures and Algorithms,,4,4,37,36,"Cheung,Shun Yan",OPT,Active
5091,UCOL,3326,CS, 355,000,Computer Architecture,,4,4,25,5,"Cheung,Shun Yan",OPT,Active
5101,UCOL,3191,CS, 355,000,Computer Architecture,,4,4,25,5,"Cheung,Shun Yan",OPT,Active
5111,UCOL,3674,CS, 355,000,Computer Architecture,,4,4,25,8,"Cheung,Shun Yan",OPT,Active
5121,UCOL,2542,CS, 355,000,Computer Architecture,,4,4,25,11,"Cheung,Shun Yan",OPT,Active
5131,UCOL,2551,CS, 355,000,Computer Architecture,,4,4,25,16,"Cheung,Shun Yan",OPT,Active
5141,UCOL,4257,CS, 355,000,Computer Architecture,,3,3,25,20,"Cheung,Shun Yan",OPT,Active
5151,UCOL,3560,CS, 355,000,Computer Architecture,,3,3,30,20,"Cheung,Shun Yan",OPT,Active
5161,UCOL,2886,CS, 355,000,Computer Architecture,,3,3,30,19,"Cheung,Shun Yan",OPT,Active
5171,UCOL,1978,CS, 355,000,Computer Architecture,,3,3,35,36,"Cheung,Shun Yan",OPT,Active
5089,UCOL,3341,CS, 377,000,Database Systems,,4,4,30,9,"Cheung,Shun Yan",OPT,Active
5099,UCOL,3055,CS, 377,000,Database Systems,,4,4,25,4,"Cheung,Shun Yan",OPT,Active
5129,UCOL,2105,CS, 377,000,Database Systems,,4,4,28,27,"Cheung,Shun Yan",OPT,Active
5149,UCOL,3694,CS, 377,000,Database Systems,,3,3,35,38,"Cheung,Shun Yan",OPT,Active
5159,UCOL,3399,CS, 377,000,Database Systems,,3,3,25,29,"Cheung,Shun Yan",OPT,Active
5169,UCOL,3614,CS, 377,000,Database Systems,,3,3,65,63,"Cheung,Shun Yan",OPT,Active
5179,UCOL,3471,CS, 377,1,Database Systems,,3,3,60,58,"Cheung,Shun Yan",OPT,Active
5101,UCOL,12585,CS, 455,000,Intro to Computer Networking,,4,4,16,7,"Cheung,Shun Yan",OPT,Active
5141,UCOL,4264,CS, 455,000,Intro to Computer Networking,,3,3,16,13,"Cheung,Shun Yan",OPT,Active
5161,UCOL,5314,CS, 455,000,Intro to Computer Networking,,3,3,27,6,"Cheung,Shun Yan",OPT,Active
5181,UCOL,4116,CS, 455,1,Intro to Computer Networking,,3,3,35,20,"Cheung,Shun Yan",OPT,Active
5101,UCOL,13420,CS, 495R,00P,Honors,,1,4,999,1,"Cheung,Shun Yan",OPT,Active
5159,UCOL,3439,CS, 497R,00P,Directed Study,,1,3,999,1,"Cheung,Shun Yan",OPT,Active
5151,GSAS,3578,CS, 554,000,Database Systems,,3,3,25,14,"Cheung,Shun Yan",OPT,Active
5171,GSAS,4426,CS, 554,000,Database Systems,,3,3,25,28,"Cheung,Shun Yan",OPT,Active
5181,GSAS,1909,CS, 554,1,Database Systems,,3,3,35,36,"Cheung,Shun Yan",OPT,Active
5109,GSAS,4296,CS, 558,000,Networking,,4,4,25,5,"Cheung,Shun Yan",OPT,Active
5141,GSAS,5962,CS, 558,000,Networking,,3,3,25,3,"Cheung,Shun Yan",OPT,Active
5089,GSAS,3348,CS, 561,000,Software Systems,,4,4,25,7,"Cheung,Shun Yan",OPT,Active
5099,GSAS,5545,CS, 584,001,Topics In Computer Science,Streaming Databases,4,4,20,6,"Cheung,Shun Yan",OPT,Active
5171,GSAS,6544,CS, 584,002,Topics In Computer Science,Professional Development,3,3,999,0,"Cheung,Shun Yan",OPT,Active
5109,GSAS,5839,CS, 590,00P,Teaching Seminar (TATTO Req.),,1,1,999,10,"Cheung,Shun Yan",SUS,Active
5119,GSAS,4090,CS, 590,000,Teaching Seminar (TATTO Req.),,1,1,16,5,"Cheung,Shun Yan",SUS,Active
5129,GSAS,2124,CS, 590,000,Teaching Seminar (TATTO Req.),,1,1,16,7,"Cheung,Shun Yan",SUS,Active
5139,GSAS,6186,CS, 590,000,Teaching Seminar (TATTO Req.),,1,1,20,5,"Cheung,Shun Yan",SUS,Active
5149,GSAS,8677,CS, 590,000,Teaching Seminar (TATTO Req.),,1,1,16,5,"Cheung,Shun Yan",SUS,Active
5159,GSAS,3410,CS, 590,000,Teaching Seminar (TATTO Req.),,1,1,30,6,"Cheung,Shun Yan",SUS,Active
5176,GSAS,2309,CS, 596R,0PB,CS Master's Practicum,,1,1,999,6,"Cheung,Shun Yan",SUS,Active
5179,GSAS,6369,CS, 596R,1,CS Master's Practicum,,1,1,99,2,"Cheung,Shun Yan",SUS,Active
5181,GSAS,6236,CS, 596R,1,CS Master's Practicum,,1,1,20,1,"Cheung,Shun Yan",SUS,Active
5109,GSAS,5919,CS, 597R,CHEU,Directed Study,,1,12,999,1,"Cheung,Shun Yan",OPT,Active
5111,GSAS,3542,CS, 597R,CHEU,Directed Study,,1,12,999,0,"Cheung,Shun Yan",OPT,Active
5119,GSAS,2727,CS, 597R,CHEU,Directed Study,,1,12,999,0,"Cheung,Shun Yan",OPT,Active
5121,GSAS,2532,CS, 597R,CHEU,Directed Study,,1,12,999,0,"Cheung,Shun Yan",OPT,Active
5129,GSAS,2126,CS, 597R,CHEU,Directed Study,,1,12,999,0,"Cheung,Shun Yan",OPT,Active
5171,GSAS,6640,CS, 597R,CHEU,Directed Study,Professional Development,1,1,999,19,"Cheung,Shun Yan",OPT,Active
5179,GSAS,6399,CS, 597R,4,Directed Study,Professional Development,1,9,30,14,"Cheung,Shun Yan",OPT,Active
5089,GSAS,4429,CS, 598R,01P,Rotation Project,,4,4,999,1,"Cheung,Shun Yan",OPT,Active
5091,GSAS,5584,CS, 598R,02P,Rotation Project,,4,4,999,0,"Cheung,Shun Yan",OPT,Active
5099,GSAS,4137,CS, 598R,02P,Rotation Project,,4,4,999,0,"Cheung,Shun Yan",OPT,Active
5101,GSAS,3219,CS, 598R,02P,Rotation Project,,4,4,999,0,"Cheung,Shun Yan",OPT,Active
5109,GSAS,5230,CS, 598R,CHEU,Rotation Project,,4,4,999,0,"Cheung,Shun Yan",OPT,Active
5176,GSAS,2430,CS, 598R,CHEU,Rotation Project,,3,3,999,1,"Cheung,Shun Yan",OPT,Active
5181,GSAS,5858,CS, 598R,4,Rotation Project,,3,3,10,4,"Cheung,Shun Yan",OPT,Active
5149,UCOL,7451,CS, 170,005,Intro to Computer Science I,,4,4,30,30,"Chien,Jung-Ting",OPT,Active
5149,UCOL,8486,CS, 323,000,Data Structures and Algorithms,,3,3,25,24,"Choi,Jinho D",OPT,Active
5151,UCOL,3558,CS, 323,000,Data Structures and Algorithms,,3,3,45,47,"Choi,Jinho D",OPT,Active
5159,UCOL,3408,CS, 323,000,Data Structures and Algorithms,,3,3,50,46,"Choi,Jinho D",OPT,Active
5169,UCOL,3619,CS, 323,000,Data Structures and Algorithms,,3,3,30,30,"Choi,Jinho D",OPT,Active
5179,UCOL,3470,CS, 323,2,Data Structures and Algorithms,,3,3,30,30,"Choi,Jinho D",OPT,Active
5151,UCOL,3559,CS, 325,000,Artificial Intelligence,,3,3,45,42,"Choi,Jinho D",OPT,Active
5161,UCOL,6263,CS, 329,001,Computational Linguistics,,3,3,32,37,"Choi,Jinho D",OPT,Active
5161,UCOL,3235,CS, 495RW,CHOI,Honors,,1,8,10,2,"Choi,Jinho D",OPT,Active
5151,UCOL,6373,CS, 497R,CHOI,Directed Study,,1,3,999,4,"Choi,Jinho D",OPT,Active
5161,UCOL,3237,CS, 497R,CHOI,Directed Study,,1,3,0,6,"Choi,Jinho D",OPT,Active
5169,UCOL,6807,CS, 497R,CHOI,Directed Study,,1,3,50,9,"Choi,Jinho D",OPT,Active
5171,UCOL,6394,CS, 497R,CHOI,Directed Study,,1,3,10,2,"Choi,Jinho D",OPT,Active
5176,UCOL,2491,CS, 497R,CHOI,Directed Study,,1,3,1,1,"Choi,Jinho D",OPT,Active
5179,UCOL,6547,CS, 497R,5,Directed Study,,1,3,5,1,"Choi,Jinho D",OPT,Active
5181,UCOL,6225,CS, 497R,5,Directed Study,,1,3,999,3,"Choi,Jinho D",OPT,Active
5159,GSAS,6024,CS, 571,000,Natural Language Processing,,3,3,25,15,"Choi,Jinho D",OPT,Active
5171,GSAS,6121,CS, 571,001,Natural Language Processing,,3,3,30,21,"Choi,Jinho D",OPT,Active
5151,GSAS,6421,CS, 597R,CHOI,Directed Study,,1,9,999,2,"Choi,Jinho D",OPT,Active
5159,GSAS,3435,CS, 597R,CHOI,Directed Study,,1,9,999,2,"Choi,Jinho D",OPT,Active
5161,GSAS,6659,CS, 597R,CHOI,Directed Study,,1,9,999,1,"Choi,Jinho D",OPT,Active
5179,GSAS,6523,CS, 597R,5,Directed Study,,1,9,10,1,"Choi,Jinho D",OPT,Active
5149,GSAS,10043,CS, 598R,CHOI,Rotation Project,,3,3,999,1,"Choi,Jinho D",OPT,Active
5151,GSAS,6110,CS, 598R,CHOI,Rotation Project,,3,3,999,2,"Choi,Jinho D",OPT,Active
5156,GSAS,2410,CS, 598R,CHOI,Rotation Project,,3,3,999,1,"Choi,Jinho D",OPT,Active
5176,GSAS,2438,CS, 598R,CHOI,Rotation Project,,3,3,10,1,"Choi,Jinho D",OPT,Active
5179,GSAS,6430,CS, 598R,5,Rotation Project,,3,3,10,1,"Choi,Jinho D",OPT,Active
5181,GSAS,6098,CS, 598R,5,Rotation Project,,3,3,10,2,"Choi,Jinho D",OPT,Active
5179,GSAS,5804,CS, 599R,1,Research,,1,9,999,1,"Choi,Jinho D",OPT,Active
5181,GSAS,6181,CS, 599R,1,Research,,1,9,5,3,"Choi,Jinho D",OPT,Active
5169,GSAS,6424,CS, 799R,CHOI,Dissertation Research,,1,9,999,1,"Choi,Jinho D",GRD,Active
5171,GSAS,6409,CS, 799R,CHOI,Dissertation Research,,1,9,999,1,"Choi,Jinho D",GRD,Active
5179,GSAS,6468,CS, 799R,5,Dissertation Research,,1,9,10,1,"Choi,Jinho D",GRD,Active
5181,GSAS,6092,CS, 799R,5,Dissertation Research,,1,9,10,1,"Choi,Jinho D",GRD,Active
5161,GSAS,5317,CS, 584,00P,Topics In Computer Science,mHealth Informatics,3,3,16,7,"Clifford,Gari D.",OPT,Active
5181,GSAS,1911,CS, 584,1,Topics In Computer Science,,3,3,5,3,"Clifford,Gari D.",OPT,Active
5171,GSAS,6541,CS, 597R,CLIF,Directed Study,,1,9,999,2,"Clifford,Gari D.",OPT,Active
5176,GSAS,2482,CS, 597R,CLIF,Directed Study,,1,9,99,1,"Clifford,Gari D.",OPT,Active
5179,GSAS,6603,CS, 597R,6,Directed Study,,1,9,10,2,"Clifford,Gari D.",OPT,Active
5181,GSAS,6137,CS, 597R,6,Directed Study,,1,9,10,3,"Clifford,Gari D.",OPT,Active
5161,GSAS,6262,CS, 598R,CLIF,Rotation Project,,3,3,999,1,"Clifford,Gari D.",OPT,Active
